Consumer Price Index item,Month of forecast,Year of forecast,Year being forecast,Attribute,Forecast percent change
Nonalcoholic beverages,5,2008,2008,Upper bound of prediction interval,5.6
Nonalcoholic beverages,6,2008,2008,Lower bound of prediction interval,1.8
Nonalcoholic beverages,6,2008,2008,Mid point of prediction interval,3.2
Nonalcoholic beverages,6,2008,2008,Upper bound of prediction interval,4.7
Nonalcoholic beverages,7,2008,2008,Lower bound of prediction interval,2
Nonalcoholic beverages,7,2008,2008,Mid point of prediction interval,3.2
Nonalcoholic beverages,7,2008,2008,Upper bound of prediction interval,4.4
Nonalcoholic beverages,8,2008,2008,Lower bound of prediction interval,2.6
Nonalcoholic beverages,8,2008,2008,Mid point of prediction interval,3.5
Nonalcoholic beverages,8,2008,2008,Upper bound of prediction interval,4.5
Nonalcoholic beverages,9,2008,2008,Lower bound of prediction interval,3
Nonalcoholic beverages,9,2008,2008,Mid point of prediction interval,3.7
Nonalcoholic beverages,9,2008,2008,Upper bound of prediction interval,4.5
Nonalcoholic beverages,10,2008,2008,Lower bound of prediction interval,3.5
Nonalcoholic beverages,10,2008,2008,Mid point of prediction interval,4
Nonalcoholic beverages,10,2008,2008,Upper bound of prediction interval,4.6
Nonalcoholic beverages,11,2008,2008,Lower bound of prediction interval,4.1
Nonalcoholic beverages,11,2008,2008,Mid point of prediction interval,4.4
Nonalcoholic beverages,11,2008,2008,Upper bound of prediction interval,4.7
Nonalcoholic beverages,12,2008,2008,Lower bound of prediction interval,4.1
Nonalcoholic beverages,12,2008,2008,Mid point of prediction interval,4.3
Nonalcoholic beverages,12,2008,2008,Upper bound of prediction interval,4.5
Other foods,7,2007,2008,Lower bound of prediction interval,-0.4
Other foods,7,2007,2008,Mid point of prediction interval,1.8
Other foods,7,2007,2008,Upper bound of prediction interval,4.1
Other foods,8,2007,2008,Lower bound of prediction interval,-0.4
Other foods,8,2007,2008,Mid point of prediction interval,1.6
Other foods,8,2007,2008,Upper bound of prediction interval,3.8
Other foods,9,2007,2008,Lower bound of prediction interval,0
Other foods,9,2007,2008,Mid point of prediction interval,2
Other foods,9,2007,2008,Upper bound of prediction interval,4.1
Other foods,10,2007,2008,Lower bound of prediction interval,0
Other foods,10,2007,2008,Mid point of prediction interval,1.8
Other foods,10,2007,2008,Upper bound of prediction interval,3.7
Other foods,11,2007,2008,Lower bound of prediction interval,0
Other foods,11,2007,2008,Mid point of prediction interval,1.8
Other foods,11,2007,2008,Upper bound of prediction interval,3.6
Other foods,12,2007,2008,Lower bound of prediction interval,-0.3
Other foods,12,2007,2008,Mid point of prediction interval,1.3
Other foods,12,2007,2008,Upper bound of prediction interval,2.9
Other foods,1,2008,2008,Lower bound of prediction interval,-0.4
Other foods,1,2008,2008,Mid point of prediction interval,1.1
Other foods,1,2008,2008,Upper bound of prediction interval,2.6
Other foods,2,2008,2008,Lower bound of prediction interval,0.3
Other foods,2,2008,2008,Mid point of prediction interval,1.6
Other foods,2,2008,2008,Upper bound of prediction interval,3
Other foods,3,2008,2008,Lower bound of prediction interval,1.3
Other foods,3,2008,2008,Mid point of prediction interval,2.5
Other foods,3,2008,2008,Upper bound of prediction interval,3.7
Other foods,4,2008,2008,Lower bound of prediction interval,1.7
Other foods,4,2008,2008,Mid point of prediction interval,2.8
Other foods,4,2008,2008,Upper bound of prediction interval,3.9
Other foods,5,2008,2008,Lower bound of prediction interval,2.8
Other foods,5,2008,2008,Mid point of prediction interval,3.8
Other foods,5,2008,2008,Upper bound of prediction interval,4.8
Other foods,6,2008,2008,Lower bound of prediction interval,3.4
Other foods,6,2008,2008,Mid point of prediction interval,4.2
Other foods,6,2008,2008,Upper bound of prediction interval,5.1
Other foods,7,2008,2008,Lower bound of prediction interval,3.8
Other foods,7,2008,2008,Mid point of prediction interval,4.5
Other foods,7,2008,2008,Upper bound of prediction interval,5.3
Other foods,8,2008,2008,Lower bound of prediction interval,4.2
Other foods,8,2008,2008,Mid point of prediction interval,4.8
Other foods,8,2008,2008,Upper bound of prediction interval,5.5
Other foods,9,2008,2008,Lower bound of prediction interval,4.6
Other foods,9,2008,2008,Mid point of prediction interval,5.1
Other foods,9,2008,2008,Upper bound of prediction interval,5.6
Other foods,10,2008,2008,Lower bound of prediction interval,4.8
Other foods,10,2008,2008,Mid point of prediction interval,5.1
Other foods,10,2008,2008,Upper bound of prediction interval,5.5
Other foods,11,2008,2008,Lower bound of prediction interval,5
Other foods,11,2008,2008,Mid point of prediction interval,5.2
Other foods,11,2008,2008,Upper bound of prediction interval,5.5
Other foods,12,2008,2008,Lower bound of prediction interval,5.1
Other foods,12,2008,2008,Mid point of prediction interval,5.2
Other foods,12,2008,2008,Upper bound of prediction interval,5.4
All food,7,2008,2009,Lower bound of prediction interval,1.3
All food,7,2008,2009,Mid point of prediction interval,3.5
All food,7,2008,2009,Upper bound of prediction interval,5.7
All food,8,2008,2009,Lower bound of prediction interval,2
All food,8,2008,2009,Mid point of prediction interval,4.4
All food,8,2008,2009,Upper bound of prediction interval,6.8
All food,9,2008,2009,Lower bound of prediction interval,2.6
All food,9,2008,2009,Mid point of prediction interval,4.8
All food,9,2008,2009,Upper bound of prediction interval,7
All food,10,2008,2009,Lower bound of prediction interval,3.7
All food,10,2008,2009,Mid point of prediction interval,5.8
All food,10,2008,2009,Upper bound of prediction interval,8.1
All food,11,2008,2009,Lower bound of prediction interval,4.2
All food,11,2008,2009,Mid point of prediction interval,6.1
All food,11,2008,2009,Upper bound of prediction interval,8.1
All food,12,2008,2009,Lower bound of prediction interval,3.3
All food,12,2008,2009,Mid point of prediction interval,5
All food,12,2008,2009,Upper bound of prediction interval,6.7
All food,1,2009,2009,Lower bound of prediction interval,3.4
All food,1,2009,2009,Mid point of prediction interval,4.8
All food,1,2009,2009,Upper bound of prediction interval,6.2
All food,2,2009,2009,Lower bound of prediction interval,3.5
All food,2,2009,2009,Mid point of prediction interval,4.8
All food,2,2009,2009,Upper bound of prediction interval,6
All food,3,2009,2009,Lower bound of prediction interval,3
All food,3,2009,2009,Mid point of prediction interval,4
All food,3,2009,2009,Upper bound of prediction interval,5.1
All food,4,2009,2009,Lower bound of prediction interval,2.4
All food,4,2009,2009,Mid point of prediction interval,3.3
All food,4,2009,2009,Upper bound of prediction interval,4.2
All food,5,2009,2009,Lower bound of prediction interval,2.1
All food,5,2009,2009,Mid point of prediction interval,2.7
All food,5,2009,2009,Upper bound of prediction interval,3.4
All food,6,2009,2009,Lower bound of prediction interval,1.9
All food,6,2009,2009,Mid point of prediction interval,2.4
All food,6,2009,2009,Upper bound of prediction interval,3
All food,7,2009,2009,Lower bound of prediction interval,1.8
All food,7,2009,2009,Mid point of prediction interval,2.3
All food,7,2009,2009,Upper bound of prediction interval,2.8
All food,8,2009,2009,Lower bound of prediction interval,1.7
All food,8,2009,2009,Mid point of prediction interval,2.1
All food,8,2009,2009,Upper bound of prediction interval,2.4
All food,9,2009,2009,Lower bound of prediction interval,1.6
All food,9,2009,2009,Mid point of prediction interval,1.9
All food,9,2009,2009,Upper bound of prediction interval,2.2
All food,10,2009,2009,Lower bound of prediction interval,1.6
All food,10,2009,2009,Mid point of prediction interval,1.8
All food,10,2009,2009,Upper bound of prediction interval,2
All food,11,2009,2009,Lower bound of prediction interval,1.7
All food,11,2009,2009,Mid point of prediction interval,1.8
All food,11,2009,2009,Upper bound of prediction interval,2
All food,12,2009,2009,Lower bound of prediction interval,1.7
All food,12,2009,2009,Mid point of prediction interval,1.8
All food,12,2009,2009,Upper bound of prediction interval,1.9
Food away from home,7,2008,2009,Lower bound of prediction interval,1.8
Food away from home,7,2008,2009,Mid point of prediction interval,3
Food away from home,7,2008,2009,Upper bound of prediction interval,4.2
Food away from home,8,2008,2009,Lower bound of prediction interval,2.5
Food away from home,8,2008,2009,Mid point of prediction interval,3.7
Food away from home,8,2008,2009,Upper bound of prediction interval,5
Food away from home,9,2008,2009,Lower bound of prediction interval,2.7
Food away from home,9,2008,2009,Mid point of prediction interval,3.8
Food away from home,9,2008,2009,Upper bound of prediction interval,4.9
Food away from home,10,2008,2009,Lower bound of prediction interval,3.2
Food away from home,10,2008,2009,Mid point of prediction interval,4.3
Food away from home,10,2008,2009,Upper bound of prediction interval,5.4
Food away from home,11,2008,2009,Lower bound of prediction interval,3.6
Food away from home,11,2008,2009,Mid point of prediction interval,4.6
Food away from home,11,2008,2009,Upper bound of prediction interval,5.6
Food away from home,12,2008,2009,Lower bound of prediction interval,4
Food away from home,12,2008,2009,Mid point of prediction interval,4.9
Food away from home,12,2008,2009,Upper bound of prediction interval,5.7
Food away from home,1,2009,2009,Lower bound of prediction interval,4
Food away from home,1,2009,2009,Mid point of prediction interval,4.8
Food away from home,1,2009,2009,Upper bound of prediction interval,5.6
Food away from home,2,2009,2009,Lower bound of prediction interval,4
Food away from home,2,2009,2009,Mid point of prediction interval,4.7
Food away from home,2,2009,2009,Upper bound of prediction interval,5.3
Food away from home,3,2009,2009,Lower bound of prediction interval,4
Food away from home,3,2009,2009,Mid point of prediction interval,4.6
Food away from home,3,2009,2009,Upper bound of prediction interval,5.1
Food away from home,4,2009,2009,Lower bound of prediction interval,3.8
Food away from home,4,2009,2009,Mid point of prediction interval,4.3
Food away from home,4,2009,2009,Upper bound of prediction interval,4.7
Food away from home,5,2009,2009,Lower bound of prediction interval,3.8
Food away from home,5,2009,2009,Mid point of prediction interval,4.2
Food away from home,5,2009,2009,Upper bound of prediction interval,4.6
Food away from home,6,2009,2009,Lower bound of prediction interval,3.6
Food away from home,6,2009,2009,Mid point of prediction interval,4
Food away from home,6,2009,2009,Upper bound of prediction interval,4.3
Food away from home,7,2009,2009,Lower bound of prediction interval,3.4
Food away from home,7,2009,2009,Mid point of prediction interval,3.7
Food away from home,7,2009,2009,Upper bound of prediction interval,4
Food away from home,8,2009,2009,Lower bound of prediction interval,3.3
Food away from home,8,2009,2009,Mid point of prediction interval,3.6
Food away from home,8,2009,2009,Upper bound of prediction interval,3.8
Food away from home,9,2009,2009,Lower bound of prediction interval,3.3
Food away from home,9,2009,2009,Mid point of prediction interval,3.5
Food away from home,9,2009,2009,Upper bound of prediction interval,3.7
Food away from home,10,2009,2009,Lower bound of prediction interval,3.4
Food away from home,10,2009,2009,Mid point of prediction interval,3.5
Food away from home,10,2009,2009,Upper bound of prediction interval,3.6
Food away from home,11,2009,2009,Lower bound of prediction interval,3.4
Food away from home,11,2009,2009,Mid point of prediction interval,3.5
Food away from home,11,2009,2009,Upper bound of prediction interval,3.6
Food away from home,12,2009,2009,Lower bound of prediction interval,3.4
Food away from home,12,2009,2009,Mid point of prediction interval,3.5
Food away from home,12,2009,2009,Upper bound of prediction interval,3.6
Food at home,7,2008,2009,Lower bound of prediction interval,0
Food at home,7,2008,2009,Mid point of prediction interval,2.5
Food at home,7,2008,2009,Upper bound of prediction interval,5.2
Food at home,8,2008,2009,Lower bound of prediction interval,0.6
Food at home,8,2008,2009,Mid point of prediction interval,3.1
Food at home,8,2008,2009,Upper bound of prediction interval,5.7
Food at home,9,2008,2009,Lower bound of prediction interval,2.9
Food at home,9,2008,2009,Mid point of prediction interval,6.2
Food at home,9,2008,2009,Upper bound of prediction interval,9.6
Food at home,10,2008,2009,Lower bound of prediction interval,3.4
Food at home,10,2008,2009,Mid point of prediction interval,6.5
Food at home,10,2008,2009,Upper bound of prediction interval,9.7
Food at home,11,2008,2009,Lower bound of prediction interval,3.9
Food at home,11,2008,2009,Mid point of prediction interval,6.7
Food at home,11,2008,2009,Upper bound of prediction interval,9.6
Food at home,12,2008,2009,Lower bound of prediction interval,3.3
Food at home,12,2008,2009,Mid point of prediction interval,5.6
Food at home,12,2008,2009,Upper bound of prediction interval,8
Food at home,1,2009,2009,Lower bound of prediction interval,2
Food at home,1,2009,2009,Mid point of prediction interval,3.7
Food at home,1,2009,2009,Upper bound of prediction interval,5.5
Food at home,2,2009,2009,Lower bound of prediction interval,3.3
Food at home,2,2009,2009,Mid point of prediction interval,5
Food at home,2,2009,2009,Upper bound of prediction interval,6.8
Food at home,3,2009,2009,Lower bound of prediction interval,1.8
Food at home,3,2009,2009,Mid point of prediction interval,3.1
Food at home,3,2009,2009,Upper bound of prediction interval,4.5
Food at home,4,2009,2009,Lower bound of prediction interval,1.2
Food at home,4,2009,2009,Mid point of prediction interval,2.4
Food at home,4,2009,2009,Upper bound of prediction interval,3.6
Food at home,5,2009,2009,Lower bound of prediction interval,0.7
Food at home,5,2009,2009,Mid point of prediction interval,1.7
Food at home,5,2009,2009,Upper bound of prediction interval,2.8
Food at home,6,2009,2009,Lower bound of prediction interval,0.5
Food at home,6,2009,2009,Mid point of prediction interval,1.4
Food at home,6,2009,2009,Upper bound of prediction interval,2.2
Food at home,7,2009,2009,Lower bound of prediction interval,0.5
Food at home,7,2009,2009,Mid point of prediction interval,1.2
Food at home,7,2009,2009,Upper bound of prediction interval,1.9
Food at home,8,2009,2009,Lower bound of prediction interval,0.3
Food at home,8,2009,2009,Mid point of prediction interval,0.8
Food at home,8,2009,2009,Upper bound of prediction interval,1.4
Food at home,9,2009,2009,Lower bound of prediction interval,0.3
Food at home,9,2009,2009,Mid point of prediction interval,0.7
Food at home,9,2009,2009,Upper bound of prediction interval,1.1
Food at home,10,2009,2009,Lower bound of prediction interval,0.3
Food at home,10,2009,2009,Mid point of prediction interval,0.6
Food at home,10,2009,2009,Upper bound of prediction interval,0.9
Food at home,11,2009,2009,Lower bound of prediction interval,0.4
Food at home,11,2009,2009,Mid point of prediction interval,0.6
Food at home,11,2009,2009,Upper bound of prediction interval,0.8
Food at home,12,2009,2009,Lower bound of prediction interval,0.3
Food at home,12,2009,2009,Mid point of prediction interval,0.5
Food at home,12,2009,2009,Upper bound of prediction interval,0.6
"Meats, poultry, and fish",7,2008,2009,Lower bound of prediction interval,-1.7
"Meats, poultry, and fish",7,2008,2009,Mid point of prediction interval,3
"Meats, poultry, and fish",7,2008,2009,Upper bound of prediction interval,8
"Meats, poultry, and fish",8,2008,2009,Lower bound of prediction interval,-1.8
"Meats, poultry, and fish",8,2008,2009,Mid point of prediction interval,2.7
"Meats, poultry, and fish",8,2008,2009,Upper bound of prediction interval,7.5
"Meats, poultry, and fish",9,2008,2009,Lower bound of prediction interval,0.3
"Meats, poultry, and fish",9,2008,2009,Mid point of prediction interval,4.7
"Meats, poultry, and fish",9,2008,2009,Upper bound of prediction interval,9.4
"Meats, poultry, and fish",10,2008,2009,Lower bound of prediction interval,1.2
"Meats, poultry, and fish",10,2008,2009,Mid point of prediction interval,5.4
"Meats, poultry, and fish",10,2008,2009,Upper bound of prediction interval,9.9
"Meats, poultry, and fish",11,2008,2009,Lower bound of prediction interval,1.5
"Meats, poultry, and fish",11,2008,2009,Mid point of prediction interval,5.4
"Meats, poultry, and fish",11,2008,2009,Upper bound of prediction interval,9.5
"Meats, poultry, and fish",12,2008,2009,Lower bound of prediction interval,0.3
"Meats, poultry, and fish",12,2008,2009,Mid point of prediction interval,3.9
"Meats, poultry, and fish",12,2008,2009,Upper bound of prediction interval,7.7
"Meats, poultry, and fish",1,2009,2009,Lower bound of prediction interval,0.6
"Meats, poultry, and fish",1,2009,2009,Mid point of prediction interval,3.8
"Meats, poultry, and fish",1,2009,2009,Upper bound of prediction interval,7.2
"Meats, poultry, and fish",2,2009,2009,Lower bound of prediction interval,0.6
"Meats, poultry, and fish",2,2009,2009,Mid point of prediction interval,3.4
"Meats, poultry, and fish",2,2009,2009,Upper bound of prediction interval,6.4
"Meats, poultry, and fish",3,2009,2009,Lower bound of prediction interval,0.6
"Meats, poultry, and fish",3,2009,2009,Mid point of prediction interval,3.1
"Meats, poultry, and fish",3,2009,2009,Upper bound of prediction interval,5.7
"Meats, poultry, and fish",4,2009,2009,Lower bound of prediction interval,0.2
"Meats, poultry, and fish",4,2009,2009,Mid point of prediction interval,2.3
"Meats, poultry, and fish",4,2009,2009,Upper bound of prediction interval,4.5
"Meats, poultry, and fish",5,2009,2009,Lower bound of prediction interval,0.1
"Meats, poultry, and fish",5,2009,2009,Mid point of prediction interval,1.9
"Meats, poultry, and fish",5,2009,2009,Upper bound of prediction interval,3.8
"Meats, poultry, and fish",6,2009,2009,Lower bound of prediction interval,0.1
"Meats, poultry, and fish",6,2009,2009,Mid point of prediction interval,1.5
"Meats, poultry, and fish",6,2009,2009,Upper bound of prediction interval,3
"Meats, poultry, and fish",7,2009,2009,Lower bound of prediction interval,0.5
"Meats, poultry, and fish",7,2009,2009,Mid point of prediction interval,1.7
"Meats, poultry, and fish",7,2009,2009,Upper bound of prediction interval,2.9
"Meats, poultry, and fish",8,2009,2009,Lower bound of prediction interval,-0.1
"Meats, poultry, and fish",8,2009,2009,Mid point of prediction interval,0.8
"Meats, poultry, and fish",8,2009,2009,Upper bound of prediction interval,1.7
"Meats, poultry, and fish",9,2009,2009,Lower bound of prediction interval,0.4
"Meats, poultry, and fish",9,2009,2009,Mid point of prediction interval,1.1
"Meats, poultry, and fish",9,2009,2009,Upper bound of prediction interval,1.7
"Meats, poultry, and fish",10,2009,2009,Lower bound of prediction interval,0.3
"Meats, poultry, and fish",10,2009,2009,Mid point of prediction interval,0.8
"Meats, poultry, and fish",10,2009,2009,Upper bound of prediction interval,1.2
"Meats, poultry, and fish",11,2009,2009,Lower bound of prediction interval,0.3
"Meats, poultry, and fish",11,2009,2009,Mid point of prediction interval,0.5
"Meats, poultry, and fish",11,2009,2009,Upper bound of prediction interval,0.8
"Meats, poultry, and fish",12,2009,2009,Lower bound of prediction interval,0.4
"Meats, poultry, and fish",12,2009,2009,Mid point of prediction interval,0.6
"Meats, poultry, and fish",12,2009,2009,Upper bound of prediction interval,0.7
Meats,7,2008,2009,Lower bound of prediction interval,-2.6
Meats,7,2008,2009,Mid point of prediction interval,3.5
Meats,7,2008,2009,Upper bound of prediction interval,9.8
Meats,8,2008,2009,Lower bound of prediction interval,-2.1
Meats,8,2008,2009,Mid point of prediction interval,3.8
Meats,8,2008,2009,Upper bound of prediction interval,9.9
Meats,9,2008,2009,Lower bound of prediction interval,-0.3
Meats,9,2008,2009,Mid point of prediction interval,5.5
Meats,9,2008,2009,Upper bound of prediction interval,11.5
Meats,10,2008,2009,Lower bound of prediction interval,0.4
Meats,10,2008,2009,Mid point of prediction interval,5.9
Meats,10,2008,2009,Upper bound of prediction interval,11.5
Meats,11,2008,2009,Lower bound of prediction interval,0.7
Meats,11,2008,2009,Mid point of prediction interval,5.8
Meats,11,2008,2009,Upper bound of prediction interval,11
Meats,12,2008,2009,Lower bound of prediction interval,-0.3
Meats,12,2008,2009,Mid point of prediction interval,4.2
Meats,12,2008,2009,Upper bound of prediction interval,8.9
Meats,1,2009,2009,Lower bound of prediction interval,-0.4
Meats,1,2009,2009,Mid point of prediction interval,3.8
Meats,1,2009,2009,Upper bound of prediction interval,8.2
Meats,2,2009,2009,Lower bound of prediction interval,-0.6
Meats,2,2009,2009,Mid point of prediction interval,3
Meats,2,2009,2009,Upper bound of prediction interval,6.8
Meats,3,2009,2009,Lower bound of prediction interval,-0.1
Meats,3,2009,2009,Mid point of prediction interval,3.1
Meats,3,2009,2009,Upper bound of prediction interval,6.3
Meats,4,2009,2009,Lower bound of prediction interval,-1
Meats,4,2009,2009,Mid point of prediction interval,1.7
Meats,4,2009,2009,Upper bound of prediction interval,4.5
Meats,5,2009,2009,Lower bound of prediction interval,-1.5
Meats,5,2009,2009,Mid point of prediction interval,0.8
Meats,5,2009,2009,Upper bound of prediction interval,3.1
Meats,6,2009,2009,Lower bound of prediction interval,-1.4
Meats,6,2009,2009,Mid point of prediction interval,0.4
Meats,6,2009,2009,Upper bound of prediction interval,2.3
Meats,7,2009,2009,Lower bound of prediction interval,-1.1
Meats,7,2009,2009,Mid point of prediction interval,0.4
Meats,7,2009,2009,Upper bound of prediction interval,1.9
Meats,8,2009,2009,Lower bound of prediction interval,-1.7
Meats,8,2009,2009,Mid point of prediction interval,-0.6
Meats,8,2009,2009,Upper bound of prediction interval,0.6
Meats,9,2009,2009,Lower bound of prediction interval,-0.9
Meats,9,2009,2009,Mid point of prediction interval,-0.1
Meats,9,2009,2009,Upper bound of prediction interval,0.7
Meats,10,2009,2009,Lower bound of prediction interval,-1
Meats,10,2009,2009,Mid point of prediction interval,-0.4
Meats,10,2009,2009,Upper bound of prediction interval,0.1
Meats,11,2009,2009,Lower bound of prediction interval,-0.8
Meats,11,2009,2009,Mid point of prediction interval,-0.5
Meats,11,2009,2009,Upper bound of prediction interval,-0.2
Meats,12,2009,2009,Lower bound of prediction interval,-0.7
Meats,12,2009,2009,Mid point of prediction interval,-0.6
Meats,12,2009,2009,Upper bound of prediction interval,-0.4
Beef and veal,7,2008,2009,Lower bound of prediction interval,-4.3
Beef and veal,7,2008,2009,Mid point of prediction interval,3.9
Beef and veal,7,2008,2009,Upper bound of prediction interval,13.1
Beef and veal,8,2008,2009,Lower bound of prediction interval,-3.3
Beef and veal,8,2008,2009,Mid point of prediction interval,4.5
Beef and veal,8,2008,2009,Upper bound of prediction interval,13.1
Beef and veal,9,2008,2009,Lower bound of prediction interval,-1.3
Beef and veal,9,2008,2009,Mid point of prediction interval,6.5
Beef and veal,9,2008,2009,Upper bound of prediction interval,14.9
Beef and veal,10,2008,2009,Lower bound of prediction interval,-1.9
Beef and veal,10,2008,2009,Mid point of prediction interval,5.1
Beef and veal,10,2008,2009,Upper bound of prediction interval,13
Beef and veal,11,2008,2009,Lower bound of prediction interval,0.2
Beef and veal,11,2008,2009,Mid point of prediction interval,6.8
Beef and veal,11,2008,2009,Upper bound of prediction interval,14
Beef and veal,12,2008,2009,Lower bound of prediction interval,-1.7
Beef and veal,12,2008,2009,Mid point of prediction interval,4.2
Beef and veal,12,2008,2009,Upper bound of prediction interval,10.7
Beef and veal,1,2009,2009,Lower bound of prediction interval,-0.6
Beef and veal,1,2009,2009,Mid point of prediction interval,4.8
Beef and veal,1,2009,2009,Upper bound of prediction interval,10.6
Beef and veal,2,2009,2009,Lower bound of prediction interval,-3.2
Beef and veal,2,2009,2009,Mid point of prediction interval,2.1
Beef and veal,2,2009,2009,Upper bound of prediction interval,7.6
Beef and veal,3,2009,2009,Lower bound of prediction interval,-0.9
Beef and veal,3,2009,2009,Mid point of prediction interval,3.7
Beef and veal,3,2009,2009,Upper bound of prediction interval,8.6
Beef and veal,4,2009,2009,Lower bound of prediction interval,-2.7
Beef and veal,4,2009,2009,Mid point of prediction interval,1.1
Beef and veal,4,2009,2009,Upper bound of prediction interval,5.3
Beef and veal,5,2009,2009,Lower bound of prediction interval,-2.2
Beef and veal,5,2009,2009,Mid point of prediction interval,1
Beef and veal,5,2009,2009,Upper bound of prediction interval,4.4
Beef and veal,6,2009,2009,Lower bound of prediction interval,-2.2
Beef and veal,6,2009,2009,Mid point of prediction interval,0.4
Beef and veal,6,2009,2009,Upper bound of prediction interval,3.2
Beef and veal,7,2009,2009,Lower bound of prediction interval,-1.9
Beef and veal,7,2009,2009,Mid point of prediction interval,0.1
Beef and veal,7,2009,2009,Upper bound of prediction interval,2.4
Beef and veal,8,2009,2009,Lower bound of prediction interval,-3.6
Beef and veal,8,2009,2009,Mid point of prediction interval,-1.9
Beef and veal,8,2009,2009,Upper bound of prediction interval,-0.2
Beef and veal,9,2009,2009,Lower bound of prediction interval,-1.7
Beef and veal,9,2009,2009,Mid point of prediction interval,-0.6
Beef and veal,9,2009,2009,Upper bound of prediction interval,0.7
Beef and veal,10,2009,2009,Lower bound of prediction interval,-1.8
Beef and veal,10,2009,2009,Mid point of prediction interval,-1
Beef and veal,10,2009,2009,Upper bound of prediction interval,-0.2
Beef and veal,11,2009,2009,Lower bound of prediction interval,-1.6
Beef and veal,11,2009,2009,Mid point of prediction interval,-1.2
Beef and veal,11,2009,2009,Upper bound of prediction interval,-0.7
Beef and veal,12,2009,2009,Lower bound of prediction interval,-1.2
Beef and veal,12,2009,2009,Mid point of prediction interval,-1
Beef and veal,12,2009,2009,Upper bound of prediction interval,-0.7
Pork,7,2008,2009,Lower bound of prediction interval,-7.6
Pork,7,2008,2009,Mid point of prediction interval,1.3
Pork,7,2008,2009,Upper bound of prediction interval,11.4
Pork,8,2008,2009,Lower bound of prediction interval,-6.3
Pork,8,2008,2009,Mid point of prediction interval,2.5
Pork,8,2008,2009,Upper bound of prediction interval,12.2
Pork,9,2008,2009,Lower bound of prediction interval,-5.3
Pork,9,2008,2009,Mid point of prediction interval,3
Pork,9,2008,2009,Upper bound of prediction interval,12.2
Pork,10,2008,2009,Lower bound of prediction interval,-3.9
Pork,10,2008,2009,Mid point of prediction interval,4
Pork,10,2008,2009,Upper bound of prediction interval,12.9
Pork,11,2008,2009,Lower bound of prediction interval,-4.3
Pork,11,2008,2009,Mid point of prediction interval,3
Pork,11,2008,2009,Upper bound of prediction interval,11
Pork,12,2008,2009,Lower bound of prediction interval,-4.8
Pork,12,2008,2009,Mid point of prediction interval,1.8
Pork,12,2008,2009,Upper bound of prediction interval,9.1
Pork,1,2009,2009,Lower bound of prediction interval,-5.5
Pork,1,2009,2009,Mid point of prediction interval,0.6
Pork,1,2009,2009,Upper bound of prediction interval,7.1
Pork,2,2009,2009,Lower bound of prediction interval,-4.3
Pork,2,2009,2009,Mid point of prediction interval,1.1
Pork,2,2009,2009,Upper bound of prediction interval,6.8
Pork,3,2009,2009,Lower bound of prediction interval,-4.4
Pork,3,2009,2009,Mid point of prediction interval,0.3
Pork,3,2009,2009,Upper bound of prediction interval,5.3
Pork,4,2009,2009,Lower bound of prediction interval,-3.4
Pork,4,2009,2009,Mid point of prediction interval,0.6
Pork,4,2009,2009,Upper bound of prediction interval,4.8
Pork,5,2009,2009,Lower bound of prediction interval,-4.8
Pork,5,2009,2009,Mid point of prediction interval,-1.3
Pork,5,2009,2009,Upper bound of prediction interval,2.1
Pork,6,2009,2009,Lower bound of prediction interval,-3.2
Pork,6,2009,2009,Mid point of prediction interval,-0.3
Pork,6,2009,2009,Upper bound of prediction interval,2.6
Pork,7,2009,2009,Lower bound of prediction interval,-2.8
Pork,7,2009,2009,Mid point of prediction interval,-0.5
Pork,7,2009,2009,Upper bound of prediction interval,1.8
Pork,8,2009,2009,Lower bound of prediction interval,-2.2
Pork,8,2009,2009,Mid point of prediction interval,-0.5
Pork,8,2009,2009,Upper bound of prediction interval,1.3
Pork,9,2009,2009,Lower bound of prediction interval,-2.3
Pork,9,2009,2009,Mid point of prediction interval,-1.1
Pork,9,2009,2009,Upper bound of prediction interval,0.1
Pork,10,2009,2009,Lower bound of prediction interval,-2.2
Pork,10,2009,2009,Mid point of prediction interval,-1.4
Pork,10,2009,2009,Upper bound of prediction interval,-0.6
Pork,11,2009,2009,Lower bound of prediction interval,-2.2
Pork,11,2009,2009,Mid point of prediction interval,-1.7
Pork,11,2009,2009,Upper bound of prediction interval,-1.2
Pork,12,2009,2009,Lower bound of prediction interval,-2.2
Pork,12,2009,2009,Mid point of prediction interval,-2
Pork,12,2009,2009,Upper bound of prediction interval,-1.8
Other meats,7,2008,2009,Lower bound of prediction interval,-2.6
Other meats,7,2008,2009,Mid point of prediction interval,0.9
Other meats,7,2008,2009,Upper bound of prediction interval,4.7
Other meats,8,2008,2009,Lower bound of prediction interval,-2.3
Other meats,8,2008,2009,Mid point of prediction interval,1.1
Other meats,8,2008,2009,Upper bound of prediction interval,4.6
Other meats,9,2008,2009,Lower bound of prediction interval,-1.4
Other meats,9,2008,2009,Mid point of prediction interval,1.7
Other meats,9,2008,2009,Upper bound of prediction interval,5.1
Other meats,10,2008,2009,Lower bound of prediction interval,-0.2
Other meats,10,2008,2009,Mid point of prediction interval,3.1
Other meats,10,2008,2009,Upper bound of prediction interval,6.5
Other meats,11,2008,2009,Lower bound of prediction interval,1.6
Other meats,11,2008,2009,Mid point of prediction interval,5.2
